time,log_close,log_open,log_high,log_low,log_returns
2009-10-06T04:00:00+04:00,-7.030442822096982,-7.030442822096982,-7.030442822096982,-7.030442822096982,0.1466046642253449
2009-10-07T04:00:00+04:00,-6.858584234975687,-6.858584234975687,-6.858584234975687,-6.858584234975687,0.17185858712129498
2009-10-08T04:00:00+04:00,-6.826839106736025,-6.826839106736025,-6.826839106736025,-6.826839106736025,0.03174512823966236
2009-10-09T04:00:00+04:00,-6.725058792483109,-6.725058792483109,-6.725058792483109,-6.725058792483109,0.1017803142529159
2009-10-10T04:00:00+04:00,-6.794051663970061,-6.794051663970061,-6.794051663970061,-6.794051663970061,-0.06899287148695166
2009-10-11T04:00:00+04:00,-6.76505851697145,-6.76505851697145,-6.76505851697145,-6.76505851697145,0.028993146998610442
2009-10-12T04:00:00+04:00,-6.810583197229878,-6.810583197229878,-6.810583197229878,-6.810583197229878,-0.04552468025842771
2009-10-13T04:00:00+04:00,-6.78661787551318,-6.78661787551318,-6.78661787551318,-6.78661787551318,0.023965321716698185
2009-10-14T04:00:00+04:00,-6.7806293576561325,-6.7806293576561325,-6.7806293576561325,-6.7806293576561325,0.0059885178570473485
2009-10-15T04:00:00+04:00,-6.75070024943607,-6.75070024943607,-6.75070024943607,-6.75070024943607,0.02992910822006234
2009-10-16T04:00:00+04:00,-6.68869204083508,-6.68869204083508,-6.68869204083508,-6.68869204083508,0.06200820860099032
2009-10-17T04:00:00+04:00,-6.691539670540626,-6.691539670540626,-6.691539670540626,-6.691539670540626,-0.0028476297055464173
2009-10-18T04:00:00+04:00,-6.704438995267677,-6.704438995267677,-6.704438995267677,-6.704438995267677,-0.012899324727050576
2009-10-19T04:00:00+04:00,-6.686221021887516,-6.686221021887516,-6.686221021887516,-6.686221021887516,0.0182179733801604
2009-10-20T04:00:00+04:00,-6.69790772904029,-6.69790772904029,-6.69790772904029,-6.69790772904029,-0.011686707152773756
2009-10-21T04:00:00+04:00,-6.716622653909632,-6.716622653909632,-6.716622653909632,-6.716622653909632,-0.01871492486934212
2009-10-22T04:00:00+04:00,-6.7090601700702654,-6.7090601700702654,-6.7090601700702654,-6.7090601700702654,0.0075624838393668625
2009-10-23T04:00:00+04:00,-6.678892115877279,-6.678892115877279,-6.678892115877279,-6.678892115877279,0.030168054192986737
2009-10-24T04:00:00+04:00,-6.666221862556337,-6.666221862556337,-6.666221862556337,-6.666221862556337,0.01267025332094196
2009-10-25T03:00:00+03:00,-6.654602541427591,-6.654602541427591,-6.654602541427591,-6.654602541427591,0.011619321128745419
2009-10-26T03:00:00+03:00,-6.6717191946859895,-6.6717191946859895,-6.6717191946859895,-6.6717191946859895,-0.017116653258398173
2009-10-27T03:00:00+03:00,-6.674091262342606,-6.674091262342606,-6.674091262342606,-6.674091262342606,-0.002372067656616572
2009-10-28T03:00:00+03:00,-6.657346816519914,-6.657346816519914,-6.657346816519914,-6.657346816519914,0.016744445822691745
2009-10-29T03:00:00+03:00,-6.672248468684528,-6.672248468684528,-6.672248468684528,-6.672248468684528,-0.014901652164613921
