time,open,high,low,close,Histogram,MACD,Signal,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,OnBalanceVolume,Smoothing Line,ADX,NV
2009-10-05T04:00:00+04:00,0.00076392,0.00076392,0.00076392,0.00076392,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2009-10-06T04:00:00+04:00,0.00088454,0.00088454,0.00088454,0.00088454,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0
2009-10-07T04:00:00+04:00,0.0010504,0.0010504,0.0010504,0.0010504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0
2009-10-08T04:00:00+04:00,0.00108428,0.00108428,0.00108428,0.00108428,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0
2009-10-09T04:00:00+04:00,0.00120045,0.00120045,0.00120045,0.00120045,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0
2009-10-10T04:00:00+04:00,0.00112042,0.00112042,0.00112042,0.00112042,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0
2009-10-11T04:00:00+04:00,0.00115338,0.00115338,0.00115338,0.00115338,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0
2009-10-12T04:00:00+04:00,0.00110205,0.00110205,0.00110205,0.00110205,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0
2009-10-13T04:00:00+04:00,0.00112878,0.00112878,0.00112878,0.00112878,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0
2009-10-14T04:00:00+04:00,0.00113556,0.00113556,0.00113556,0.00113556,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0
2009-10-15T04:00:00+04:00,0.00117006,0.00117006,0.00117006,0.00117006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0
2009-10-16T04:00:00+04:00,0.00124491,0.00124491,0.00124491,0.00124491,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0
2009-10-17T04:00:00+04:00,0.00124137,0.00124137,0.00124137,0.00124137,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0
