time,open,high,low,close,MA,Smoothing Line,Histogram,MACD,Signal,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,OnBalanceVolume,Smoothing Line,ADX
1670684400,17166.16,17225.12,17160.72,17207.7,17159.796799999967,17146.330159999976,3.1794922001197,9.769292510849482,6.589800310729782,63.608418894775895,52.964537223130726,NaN,NaN,-834102.960731999,-842257.2725019988,14.936560246598077
1670688000,17207.69,17227.72,17170.55,17189.29,17165.63439999997,17152.82427999998,3.588927666614987,11.075959893998515,7.487032227383528,58.26202991541055,53.54531140783661,NaN,NaN,-841885.879351999,-842904.7894539988,15.940952332506036
1670691600,17189.81,17201.18,17160.14,17169.18,17170.66999999997,17158.981119999982,2.3057853031802846,10.369263856358884,8.0634785531786,53.01967984313616,53.69821991010911,NaN,NaN,-847679.9708919991,-843649.2730699988,16.446571201343378
1670695200,17169.18,17194.76,17167.69,17185.62,17175.426399999968,17164.86035999998,2.3563126510312813,11.008869366967701,8.65255671593642,56.4681167806192,54.000753146622586,NaN,NaN,-844124.4477519991,-842352.9269859989,16.91607443669234
1670698800,17185.23,17191.29,17165.14,17175.8,17179.610999999968,17170.227719999984,1.5588872443568729,10.601165771382512,9.042278527025639,53.922065235565846,54.38351447121987,NaN,NaN,-847882.5491719991,-843135.1615799988,17.23785157656824
1670702400,17175.5,17183.87,17166.73,17171.31,17178.076599999968,17173.883679999984,0.6083789650103917,9.80275223328863,9.194373268278238,52.75091285997614,54.49153567843206,NaN,NaN,-851032.8937619991,-846521.1481859988,17.53664463502443
1670706000,17171.31,17177.16,17125,17125.43,17175.552799999965,17175.867359999982,-3.031051202712657,5.405559264887415,8.436610467600072,42.575190713524655,53.77353988373935,NaN,NaN,-856646.964221999,-849473.3651599989,16.469832022561715
1670709600,17125.43,17159.82,17112.25,17138.24,17174.399399999966,17176.613239999984,-4.412693505462809,2.920743585771561,7.33343709123437,45.72336370886455,53.47569615362352,NaN,NaN,-851266.266721999,-850190.6243259988,15.904428698343764
1670713200,17138.24,17149.65,17092,17127.49,17173.33059999997,17176.19407999998,-5.800256880951927,0.0831159900444618,5.883372870996388,43.564923601176446,52.96779903708682,NaN,NaN,-859410.9734319991,-853247.9294619989,15.997614225092201
1670716800,17127.49,17146.8,17121.92,17141.07,17172.115399999966,17174.694959999983,-5.55288938575133,-1.0577388611927745,4.4951505245585555,46.970534807524174,52.41116429020526,NaN,NaN,-855084.5978819991,-854688.3392039988,16.08414364278718
1670720400,17140.78,17170.6,17135.19,17163.92,17170.911799999965,17173.26199999998,-3.68950040579913,-0.11672498269035714,3.572775423108773,52.19769603668681,52.15726212113019,NaN,NaN,-850012.6760819991,-854484.2956679988,15.207843543439411
1670724000,17164.4,17166.9,17139.79,17143.85,17169.698399999965,17172.09111999998,-3.6415474094977354,-0.9791588387633965,2.662388570734339,47.745943827603675,51.76920654686164,NaN,NaN,-854937.233391999,-854142.3495019987,14.39413630833077
1670727600,17143.85,17175,17140.03,17153.61,17168.073799999966,17170.82599999998,-2.82200755737746,-0.8651208759874862,1.9568866813899737,49.980080640281734,51.55581784403481,NaN,NaN,-849086.156151999,-853706.3273879988,13.413434291100968
