time,open,high,low,close,Volume,Volume MA
2005-12-09T17:30:00+03:00,1256.12,1263.08,1254.24,1259.37,1896290000,2101482500
2005-12-12T17:30:00+03:00,1259.86,1263.86,1255.52,1260.43,1876550000,2106653000
2005-12-13T17:30:00+03:00,1259.99,1272.11,1258.56,1267.43,2390020000,2131165000
2005-12-14T17:30:00+03:00,1267.19,1275.8,1267.07,1272.74,2145520000,2120472500
2005-12-15T17:30:00+03:00,1273.14,1275.17,1267.74,1270.94,2180590000,2123423000
2005-12-16T17:30:00+03:00,1271.16,1275.24,1267.32,1267.32,2584190000,2137730500
2005-12-19T17:30:00+03:00,1267.21,1270.51,1259.36,1259.92,2208810000,2125506500
2005-12-20T17:30:00+03:00,1260.01,1263.86,1257.21,1259.62,1996690000,2119473500
2005-12-21T17:30:00+03:00,1260.51,1269.37,1259.62,1262.79,2065170000,2108161000
2005-12-22T17:30:00+03:00,1262.91,1268.19,1262.5,1268.12,1888500000,2103316000
2005-12-23T17:30:00+03:00,1268.38,1269.76,1265.92,1268.66,1285810000,2131359500
2005-12-27T17:30:00+03:00,1268.96,1271.83,1256.54,1256.54,1540470000,2107538000
2005-12-28T17:30:00+03:00,1257.13,1261.1,1256.54,1258.17,1422360000,2065239000
2005-12-29T17:30:00+03:00,1258.15,1260.61,1254.18,1254.42,1382540000,2015631500
2005-12-30T17:30:00+03:00,1254.42,1254.42,1246.59,1248.29,1443500000,1957065000
2006-01-03T17:30:00+03:00,1252.03,1270.22,1245.74,1268.8,2554570000,1978514500
2006-01-04T17:30:00+03:00,1268.96,1275.37,1267.74,1273.46,2515330000,1987989000
2006-01-05T17:30:00+03:00,1273.54,1276.91,1270.3,1273.48,2433340000,2004119000
2006-01-06T17:30:00+03:00,1274.61,1286.09,1274.61,1285.45,2446560000,2021755500
2006-01-09T17:30:00+03:00,1285.56,1290.78,1284.82,1290.15,2301490000,2027915000
2006-01-10T17:30:00+03:00,1288.93,1289.94,1283.76,1289.69,2373080000,2051754500
2006-01-11T17:30:00+03:00,1290.08,1294.9,1288.12,1294.18,2406130000,2078233500
2006-01-12T17:30:00+03:00,1286.07,1288.96,1282.78,1287.61,2318350000,2074650000
2006-01-13T17:30:00+03:00,1286.07,1288.96,1282.78,1287.61,2206510000,2077699500
2006-01-17T17:30:00+03:00,1278.91,1282.43,1272.08,1277.93,2179970000,2077668500
2006-01-18T17:30:00+03:00,1278.96,1287.79,1278.6,1285.04,2233200000,2060119000
2006-01-19T17:30:00+03:00,1284.52,1284.57,1260.92,1261.49,2444020000,2071879500
2006-01-20T17:30:00+03:00,1284.52,1285.04,1260.92,1261.49,2845810000,2114335500
2006-01-23T17:30:00+03:00,1261.98,1268.19,1261.7,1263.82,2256070000,2123880500
2006-01-24T17:30:00+03:00,1264.59,1271.47,1264.59,1266.86,2608720000,2159891500
2006-01-25T17:30:00+03:00,1267.81,1271.87,1259.45,1264.68,2617060000,2226454000
2006-01-26T17:30:00+03:00,1267.4,1276.44,1267.4,1273.83,2856780000,2292269500
2006-01-27T17:30:00+03:00,1275.4,1286.32,1275.18,1283.72,2623620000,2352332500
2006-01-30T17:30:00+03:00,1283.78,1287.94,1283.51,1285.2,2282730000,2397342000
2006-01-31T17:30:00+03:00,1284.97,1285.2,1276.85,1280.08,2708310000,2460582500
2006-02-01T17:30:00+03:00,1280.08,1283.33,1277.57,1282.46,2589410000,2462324500
2006-02-02T17:30:00+03:00,1281.82,1282.46,1267.72,1270.84,2565300000,2464823000
2006-02-03T17:30:00+03:00,1269.45,1270.87,1261.02,1264.03,2282210000,2457266500
2006-02-06T17:30:00+03:00,1264.21,1267.04,1261.62,1265.02,2132360000,2441556500
2006-02-07T17:30:00+03:00,1264.82,1265.78,1253.61,1254.78,2366370000,2444800500
2006-02-08T17:30:00+03:00,1257.23,1266.47,1254.78,1265.65,2456860000,2448989500
2006-02-09T17:30:00+03:00,1266.37,1274.56,1262.8,1263.78,2441920000,2450779000
2006-02-10T17:30:00+03:00,1263.86,1269.89,1254.98,1266.99,2290050000,2449364000
2006-02-13T17:30:00+03:00,1265.15,1266.99,1258.34,1262.86,1850080000,2431542500
2006-02-14T17:30:00+03:00,1263.12,1278.21,1260.8,1275.53,2437940000,2444441000
2006-02-15T17:30:00+03:00,1275.53,1281,1271.08,1280,2317590000,2448660500
2006-02-16T17:30:00+03:00,1280.42,1289.39,1280,1289.38,2251490000,2439034000
2006-02-17T17:30:00+03:00,1288.64,1289.47,1284.07,1287.24,2128260000,2403156500
2006-02-21T17:30:00+03:00,1287.14,1291.92,1281.33,1283.04,2104320000,2395569000
2006-02-22T17:30:00+03:00,1283.09,1294.17,1283.03,1292.67,2222380000,2376252000
2006-02-23T17:30:00+03:00,1292.52,1293.84,1285.14,1287.79,2144210000,2352609500
2006-02-24T17:30:00+03:00,1287.72,1292.11,1285.62,1289.43,1933010000,2306421000
2006-02-27T17:30:00+03:00,1289.79,1297.57,1288.43,1294.12,1975320000,2274006000
